"symbol","trade_date","buy","nextday"
"JPM","2012-04-12","y","n"
"JPM","2012-04-13","n","y"
"EXPO","2012-04-18","y","n"
"EXPO","2012-04-19","n","y"
"FFIV","2012-04-18","y","n"
"FFIV","2012-04-19","n","y"
"IDXX","2012-04-19","n","n"
"IDXX","2012-04-20","y","y"
"NTCT","2012-04-25","y","n"
"NTCT","2012-04-26","n","y"
"OIS","2012-04-26","y","n"
"OIS","2012-04-27","n","y"
"EOG","2012-05-08","y","n"
"EOG","2012-05-09","n","y"
"WTI","2012-05-08","n","n"
"WTI","2012-05-09","y","y"
"HEI","2012-05-22","y","n"
"HEI","2012-05-23","n","y"
"CFI","2012-06-13","y","n"
"CFI","2012-06-14","n","y"
"UNF","2012-06-26","y","n"
"UNF","2012-06-27","n","y"
"TIBX","2012-06-28","y","n"
"TIBX","2012-06-29","n","y"
"AOS","2012-07-17","y","n"
"AOS","2012-07-18","n","y"
"DOV","2012-07-17","y","n"
"DOV","2012-07-18","n","y"
"RLI","2012-07-18","y","n"
"RLI","2012-07-19","n","y"
"EXPO","2012-07-18","y","n"
"EXPO","2012-07-19","n","y"
"FFIV","2012-07-18","y","n"
"FFIV","2012-07-19","n","y"
"FCS","2012-07-18","y","n"
"FCS","2012-07-19","n","y"
"GLW","2012-07-24","n","n"
"GLW","2012-07-25","y","y"
"SLAB","2012-07-24","n","n"
"SLAB","2012-07-25","y","y"
"ACAT","2012-07-25","y","n"
"ACAT","2012-07-26","n","y"
"UTX","2012-07-25","n","n"
"UTX","2012-07-26","y","y"
"BWA","2012-07-25","n","n"
"BWA","2012-07-26","y","y"
"RT","2012-07-25","n","n"
"RT","2012-07-26","y","y"
"VECO","2012-07-26","y","n"
"VECO","2012-07-27","n","y"
"OIS","2012-07-31","y","n"
"OIS","2012-08-01","n","y"
"WBMD","2012-07-31","y","n"
"WBMD","2012-08-01","n","y"
"DWA","2012-07-31","n","n"
"DWA","2012-08-01","y","y"
"CACI","2012-08-15","y","n"
"CACI","2012-08-16","n","y"
"TIBX","2012-09-20","y","n"
"TIBX","2012-09-21","n","y"
"UNP","2012-10-17","y","n"
"UNP","2012-10-18","n","y"
"NTCT","2012-10-17","y","n"
"NTCT","2012-10-18","n","y"
"HOMB","2012-10-17","y","n"
"HOMB","2012-10-18","n","y"
"SNDK","2012-10-18","y","n"
"SNDK","2012-10-19","n","y"
"WYN","2012-10-23","y","n"
"WYN","2012-10-24","n","y"
"ACAT","2012-10-24","y","n"
"ACAT","2012-10-25","n","y"
"GTI","2012-10-24","n","n"
"GTI","2012-10-25","y","y"
"GT","2012-10-25","y","n"
"GT","2012-10-26","n","y"
"SPW","2012-10-26","n","n"
"SPW","2012-10-29","y","y"
"HSC","2012-10-31","y","n"
"HSC","2012-11-01","n","y"
"OIS","2012-10-31","y","n"
"OIS","2012-11-01","n","y"
"HTZ","2012-10-31","y","n"
"HTZ","2012-11-01","n","y"
"PCLN","2012-11-01","y","n"
"PCLN","2012-11-02","n","y"
"INT","2012-11-01","y","n"
"INT","2012-11-02","n","y"
"WBMD","2012-11-01","y","n"
"WBMD","2012-11-02","n","y"
"RL","2012-11-01","y","n"
"RL","2012-11-02","n","y"
"FSLR","2012-11-01","n","n"
"FSLR","2012-11-02","y","y"
"FOSL","2012-11-05","y","n"
"FOSL","2012-11-06","n","y"
"THS","2012-11-05","n","n"
"THS","2012-11-06","y","y"
"SRE","2012-11-05","n","n"
"SRE","2012-11-06","y","y"
"CSC","2012-11-05","n","n"
"CSC","2012-11-06","y","y"
"CPA","2012-11-07","y","n"
"CPA","2012-11-08","n","y"
"NNI","2012-11-08","y","n"
"NNI","2012-11-09","n","y"
"GIII","2012-12-04","y","n"
"GIII","2012-12-05","n","y"
"HEI","2012-12-18","y","n"
"HEI","2012-12-19","n","y"
"TIBX","2012-12-20","y","n"
"TIBX","2012-12-21","n","y"
"UNF","2013-01-02","y","n"
"UNF","2013-01-03","n","y"
"NTCT","2013-01-16","y","n"
"NTCT","2013-01-17","n","y"
"SNDK","2013-01-23","y","n"
"SNDK","2013-01-24","n","y"
"BANR","2013-01-23","y","n"
"BANR","2013-01-24","n","y"
"AAPL","2013-01-23","y","n"
"AAPL","2013-01-24","n","y"
"MDP","2013-01-23","n","n"
"MDP","2013-01-24","y","y"
"DLLR","2013-01-24","y","n"
"DLLR","2013-01-25","n","y"
"VMW","2013-01-28","y","n"
"VMW","2013-01-29","n","y"
"PLT","2013-01-29","y","n"
"PLT","2013-01-30","n","y"
"NOC","2013-01-29","y","n"
"NOC","2013-01-30","n","y"
"LEA","2013-01-31","y","n"
"LEA","2013-02-01","n","y"
"SWI","2013-02-04","y","n"
"SWI","2013-02-05","n","y"
"BIDU","2013-02-04","y","n"
"BIDU","2013-02-05","n","y"
"RL","2013-02-05","y","n"
"RL","2013-02-06","n","y"
"DIS","2013-02-05","n","n"
"DIS","2013-02-06","y","y"
"CGX","2013-02-05","y","n"
"CGX","2013-02-06","n","y"
"VOCS","2013-02-05","n","n"
"VOCS","2013-02-06","y","y"
"CPA","2013-02-06","y","n"
"CPA","2013-02-07","n","y"
"AFG","2013-02-11","y","n"
"AFG","2013-02-12","n","y"
"ALXN","2013-02-13","y","n"
"ALXN","2013-02-14","n","y"
"SPW","2013-02-13","n","n"
"SPW","2013-02-14","y","y"
"LECO","2013-02-14","y","n"
"LECO","2013-02-15","n","y"
"TRW","2013-02-14","y","n"
"TRW","2013-02-15","n","y"
"WBMD","2013-02-21","y","n"
"WBMD","2013-02-22","n","y"
"TIVO","2013-02-26","n","n"
"TIVO","2013-02-27","y","y"
"DLTR","2013-02-26","y","n"
"DLTR","2013-02-27","n","y"
"FSLR","2013-02-26","n","n"
"FSLR","2013-02-27","y","y"
"WTI","2013-02-26","n","n"
"WTI","2013-02-27","y","y"
"DXPE","2013-02-27","y","n"
"DXPE","2013-02-28","n","y"
"CSGP","2013-02-27","y","n"
"CSGP","2013-02-28","n","y"
"CFI","2013-02-27","y","n"
"CFI","2013-02-28","n","y"
"NNI","2013-02-28","y","n"
"NNI","2013-03-01","n","y"
"NCIT","2013-02-28","y","n"
"NCIT","2013-03-01","n","y"
"KR","2013-03-06","y","n"
"KR","2013-03-07","n","y"
"ULTA","2013-03-14","y","n"
"ULTA","2013-03-15","n","y"
"RT","2013-04-10","n","n"
"RT","2013-04-11","y","y"
"BX","2013-04-17","y","n"
"BX","2013-04-18","n","y"
"SNDK","2013-04-17","y","n"
"SNDK","2013-04-18","n","y"
"CE","2013-04-18","y","n"
"CE","2013-04-19","n","y"
"LECO","2013-04-22","y","n"
"LECO","2013-04-23","n","y"
"IDXX","2013-04-22","n","n"
"IDXX","2013-04-23","y","y"
"ACE","2013-04-22","y","n"
"ACE","2013-04-23","n","y"
"WYN","2013-04-23","y","n"
"WYN","2013-04-24","n","y"
"MANH","2013-04-23","y","n"
"MANH","2013-04-24","n","y"
"WBC","2013-04-24","y","n"
"WBC","2013-04-25","n","y"
"STEL","2013-04-24","y","n"
"STEL","2013-04-25","n","y"
"NTCT","2013-04-24","y","n"
"NTCT","2013-04-25","n","y"
"ALXN","2013-04-24","y","n"
"ALXN","2013-04-25","n","y"
"CSGP","2013-04-24","y","n"
"CSGP","2013-04-25","n","y"
"RSYS","2013-04-25","n","n"
"RSYS","2013-04-26","y","y"
"TRW","2013-04-29","y","n"
"TRW","2013-04-30","n","y"
"SWI","2013-04-30","y","n"
"SWI","2013-05-01","n","y"
"K","2013-05-01","y","n"
"K","2013-05-02","n","y"
"AGII","2013-05-02","y","n"
"AGII","2013-05-03","n","y"
"WTI","2013-05-07","n","n"
"WTI","2013-05-08","y","y"
"PLT","2013-05-07","y","n"
"PLT","2013-05-08","n","y"
"NNI","2013-05-09","y","n"
"NNI","2013-05-10","n","y"
"CSCO","2013-05-15","n","n"
"CSCO","2013-05-16","y","y"
"AMAT","2013-05-16","n","n"
"AMAT","2013-05-17","y","y"
"TTC","2013-05-22","y","n"
"TTC","2013-05-23","n","y"
"SMTC","2013-05-22","y","n"
"SMTC","2013-05-23","n","y"
"KR","2013-06-19","y","n"
"KR","2013-06-20","n","y"
"CCL","2013-06-24","y","n"
"CCL","2013-06-25","n","y"
"UNF","2013-06-25","y","n"
"UNF","2013-06-26","n","y"
"SNDK","2013-07-17","y","n"
"SNDK","2013-07-18","n","y"
"UNP","2013-07-17","y","n"
"UNP","2013-07-18","n","y"
"CE","2013-07-18","y","n"
"CE","2013-07-19","n","y"
"IDXX","2013-07-22","n","n"
"IDXX","2013-07-23","y","y"
"BEAV","2013-07-22","y","n"
"BEAV","2013-07-23","n","y"
"EXPO","2013-07-23","y","n"
"EXPO","2013-07-24","n","y"
"WYN","2013-07-23","y","n"
"WYN","2013-07-24","n","y"
"AOS","2013-07-23","y","n"
"AOS","2013-07-24","n","y"
"CSGP","2013-07-24","y","n"
"CSGP","2013-07-25","n","y"
"TER","2013-07-24","y","n"
"TER","2013-07-25","n","y"
"ACAT","2013-07-24","y","n"
"ACAT","2013-07-25","n","y"
"ALXN","2013-07-24","y","n"
"ALXN","2013-07-25","n","y"
"WAB","2013-07-24","n","n"
"WAB","2013-07-25","y","y"
"JAH","2013-07-24","y","n"
"JAH","2013-07-25","n","y"
"MDP","2013-07-24","n","n"
"MDP","2013-07-25","y","y"
"STEL","2013-07-24","y","n"
"STEL","2013-07-25","n","y"
"DLX","2013-07-24","y","n"
"DLX","2013-07-25","n","y"
"LECO","2013-07-26","y","n"
"LECO","2013-07-29","n","y"
"HTZ","2013-07-29","y","n"
"HTZ","2013-07-30","n","y"
"ESV","2013-07-29","y","n"
"ESV","2013-07-30","n","y"
"TRW","2013-07-29","y","n"
"TRW","2013-07-30","n","y"
"RSYS","2013-07-30","n","n"
"RSYS","2013-07-31","y","y"
"RDC","2013-08-05","n","n"
"RDC","2013-08-06","y","y"
"DVN","2013-08-06","y","n"
"DVN","2013-08-07","n","y"
"RL","2013-08-06","y","n"
"RL","2013-08-07","n","y"
"AGII","2013-08-06","y","n"
"AGII","2013-08-07","n","y"
"GBL","2013-08-06","n","n"
"GBL","2013-08-07","y","y"
"CODI","2013-08-07","n","n"
"CODI","2013-08-08","y","y"
"HSC","2013-08-07","y","n"
"HSC","2013-08-08","n","y"
"BDC","2013-08-07","y","n"
"BDC","2013-08-08","n","y"
"PCLN","2013-08-08","y","n"
"PCLN","2013-08-09","n","y"
"DLLR","2013-08-22","y","n"
"DLLR","2013-08-23","n","y"
"HEI","2013-08-27","y","n"
"HEI","2013-08-28","n","y"
"OVTI","2013-08-29","n","n"
"OVTI","2013-08-30","y","y"
"GIII","2013-09-03","y","n"
"GIII","2013-09-04","n","y"
"PVH","2013-09-09","y","n"
"PVH","2013-09-10","n","y"
"TIBX","2013-09-19","y","n"
"TIBX","2013-09-20","n","y"
"CCL","2013-09-23","y","n"
"CCL","2013-09-24","n","y"
"NTCT","2013-10-16","y","n"
"NTCT","2013-10-17","n","y"
"UNP","2013-10-16","y","n"
"UNP","2013-10-17","n","y"
"BX","2013-10-16","y","n"
"BX","2013-10-17","n","y"
"SNDK","2013-10-16","y","n"
"SNDK","2013-10-17","n","y"
"AOS","2013-10-18","y","n"
"AOS","2013-10-21","n","y"
"FIBK","2013-10-21","y","n"
"FIBK","2013-10-22","n","y"
"VOCS","2013-10-22","n","n"
"VOCS","2013-10-23","y","y"
"UNF","2013-10-22","y","n"
"UNF","2013-10-23","n","y"
"ACE","2013-10-22","y","n"
"ACE","2013-10-23","n","y"
"WYN","2013-10-22","y","n"
"WYN","2013-10-23","n","y"
"BEAV","2013-10-22","y","n"
"BEAV","2013-10-23","n","y"
"ACAT","2013-10-23","y","n"
"ACAT","2013-10-24","n","y"
"PTEN","2013-10-23","y","n"
"PTEN","2013-10-24","n","y"
"CSGP","2013-10-23","y","n"
"CSGP","2013-10-24","n","y"
"ESV","2013-10-23","y","n"
"ESV","2013-10-24","n","y"
"DLX","2013-10-23","y","n"
"DLX","2013-10-24","n","y"
"WAB","2013-10-23","n","n"
"WAB","2013-10-24","y","y"
"PAG","2013-10-28","y","n"
"PAG","2013-10-29","n","y"
"KWR","2013-10-29","y","n"
"KWR","2013-10-30","n","y"
"MMP","2013-10-30","y","n"
"MMP","2013-10-31","n","y"
"FSLR","2013-10-31","n","n"
"FSLR","2013-11-01","y","y"
"DVN","2013-11-05","y","n"
"DVN","2013-11-06","n","y"
"RL","2013-11-05","y","n"
"RL","2013-11-06","n","y"
"ENS","2013-11-06","y","n"
"ENS","2013-11-07","n","y"
"PCLN","2013-11-07","y","n"
"PCLN","2013-11-08","n","y"
"NNI","2013-11-07","y","n"
"NNI","2013-11-08","n","y"
"BRCD","2013-11-18","n","n"
"BRCD","2013-11-19","y","y"
"DLTR","2013-11-20","y","n"
"DLTR","2013-11-21","n","y"
"GIII","2013-12-03","y","n"
"GIII","2013-12-04","n","y"
"ULTA","2013-12-05","y","n"
"ULTA","2013-12-06","n","y"
"PAY","2013-12-17","n","n"
"PAY","2013-12-18","y","y"
"HEI","2013-12-17","y","n"
"HEI","2013-12-18","n","y"
"TIBX","2013-12-19","y","n"
"TIBX","2013-12-20","n","y"
"UNF","2014-01-07","y","n"
"UNF","2014-01-08","n","y"
"JPM","2014-01-13","y","n"
"JPM","2014-01-14","n","y"
"GS","2014-01-15","y","n"
"GS","2014-01-16","n","y"
"NTCT","2014-01-22","y","n"
"NTCT","2014-01-23","n","y"
"KEY","2014-01-22","y","n"
"KEY","2014-01-23","n","y"
"DLX","2014-01-22","y","n"
"DLX","2014-01-23","n","y"
"SNDK","2014-01-22","y","n"
"SNDK","2014-01-23","n","y"
"AOS","2014-01-27","y","n"
"AOS","2014-01-28","n","y"
"MDP","2014-01-28","n","n"
"MDP","2014-01-29","y","y"
"ALXN","2014-01-29","y","n"
"ALXN","2014-01-30","n","y"
"BX","2014-01-29","y","n"
"BX","2014-01-30","n","y"
"FIBK","2014-01-29","y","n"
"FIBK","2014-01-30","n","y"
"NOC","2014-01-29","y","n"
"NOC","2014-01-30","n","y"
"TMO","2014-01-29","y","n"
"TMO","2014-01-30","n","y"
"LLL","2014-01-29","y","n"
"LLL","2014-01-30","n","y"
"MAN","2014-01-29","y","n"
"MAN","2014-01-30","n","y"
"LEA","2014-01-30","y","n"
"LEA","2014-01-31","n","y"
"MMP","2014-02-04","y","n"
"MMP","2014-02-05","n","y"
"RL","2014-02-04","y","n"
"RL","2014-02-05","n","y"
"ENS","2014-02-05","y","n"
"ENS","2014-02-06","n","y"
"FLT","2014-02-05","y","n"
"FLT","2014-02-06","n","y"
"DIS","2014-02-05","n","n"
"DIS","2014-02-06","y","y"
"AGII","2014-02-11","y","n"
"AGII","2014-02-12","n","y"
"JAH","2014-02-12","y","n"
"JAH","2014-02-13","n","y"
"WBC","2014-02-12","y","n"
"WBC","2014-02-13","n","y"
"AMAT","2014-02-12","n","n"
"AMAT","2014-02-13","y","y"
"LECO","2014-02-13","y","n"
