"symbol","trade_date","buy","nextday"
"LECO","2014-02-14","n","y"
"TRW","2014-02-13","y","n"
"TRW","2014-02-14","n","y"
"CSGP","2014-02-19","y","n"
"CSGP","2014-02-20","n","y"
"OIS","2014-02-19","y","n"
"OIS","2014-02-20","n","y"
"INTU","2014-02-20","y","n"
"INTU","2014-02-21","n","y"
"NNI","2014-02-27","y","n"
"NNI","2014-02-28","n","y"
"KR","2014-03-05","y","n"
"KR","2014-03-06","n","y"
"DRI","2014-03-20","n","n"
"DRI","2014-03-21","y","y"
"JPM","2014-04-10","y","n"
"JPM","2014-04-11","n","y"
"AOS","2014-04-21","y","n"
"AOS","2014-04-22","n","y"
"CE","2014-04-21","y","n"
"CE","2014-04-22","n","y"
"LECO","2014-04-22","y","n"
"LECO","2014-04-23","n","y"
"NOC","2014-04-22","y","n"
"NOC","2014-04-23","n","y"
"TMO","2014-04-22","y","n"
"TMO","2014-04-23","n","y"
"NTCT","2014-04-23","y","n"
"NTCT","2014-04-24","n","y"
"SCI","2014-04-23","y","n"
"SCI","2014-04-24","n","y"
"ALXN","2014-04-23","y","n"
"ALXN","2014-04-24","n","y"
"PAG","2014-04-23","y","n"
"PAG","2014-04-24","n","y"
"WYN","2014-04-23","y","n"
"WYN","2014-04-24","n","y"
"IDXX","2014-04-24","n","n"
"IDXX","2014-04-25","y","y"
"KLAC","2014-04-24","n","n"
"KLAC","2014-04-25","y","y"
"TRW","2014-04-28","y","n"
"TRW","2014-04-29","n","y"
"ACE","2014-04-29","y","n"
"ACE","2014-04-30","n","y"
"PLT","2014-04-29","y","n"
"PLT","2014-04-30","n","y"
"SWI","2014-04-29","y","n"
"SWI","2014-04-30","n","y"
"RSYS","2014-05-01","n","n"
"RSYS","2014-05-02","y","y"
"FLT","2014-05-01","y","n"
"FLT","2014-05-02","n","y"
"TW","2014-05-05","y","n"
"TW","2014-05-06","n","y"
"CBOE","2014-05-05","y","n"
"CBOE","2014-05-06","n","y"
"WTI","2014-05-06","n","n"
"WTI","2014-05-07","y","y"
"DVN","2014-05-06","y","n"
"DVN","2014-05-07","n","y"
"CPA","2014-05-07","y","n"
"CPA","2014-05-08","n","y"
"CXW","2014-05-07","y","n"
"CXW","2014-05-08","n","y"
"NNI","2014-05-08","y","n"
"NNI","2014-05-09","n","y"
"DXPE","2014-05-12","y","n"
"DXPE","2014-05-13","n","y"
"AMAT","2014-05-15","n","n"
"AMAT","2014-05-16","y","y"
"HEI","2014-05-20","y","n"
"HEI","2014-05-21","n","y"
"TTC","2014-05-21","y","n"
"TTC","2014-05-22","n","y"
"KR","2014-06-18","y","n"
"KR","2014-06-19","n","y"
"CCL","2014-06-23","y","n"
"CCL","2014-06-24","n","y"
"UNF","2014-07-01","y","n"
"UNF","2014-07-02","n","y"
"JNJ","2014-07-14","y","n"
"JNJ","2014-07-15","n","y"
"SNDK","2014-07-16","y","n"
"SNDK","2014-07-17","n","y"
"SNA","2014-07-16","y","n"
"SNA","2014-07-17","n","y"
"BX","2014-07-16","y","n"
"BX","2014-07-17","n","y"
"CE","2014-07-17","y","n"
"CE","2014-07-18","n","y"
"COF","2014-07-17","y","n"
"COF","2014-07-18","n","y"
"MAN","2014-07-18","y","n"
"MAN","2014-07-21","n","y"
"AOS","2014-07-21","y","n"
"AOS","2014-07-22","n","y"
"ACE","2014-07-22","y","n"
"ACE","2014-07-23","n","y"
"EXPO","2014-07-22","y","n"
"EXPO","2014-07-23","n","y"
"WYN","2014-07-23","y","n"
"WYN","2014-07-24","n","y"
"K","2014-07-30","y","n"
"K","2014-07-31","n","y"
"MDP","2014-07-30","n","n"
"MDP","2014-07-31","y","y"
"TRS","2014-07-30","y","n"
"TRS","2014-07-31","n","y"
"CYH","2014-07-31","y","n"
"CYH","2014-08-01","n","y"
"FLT","2014-07-31","y","n"
"FLT","2014-08-01","n","y"
"AGII","2014-08-04","y","n"
"AGII","2014-08-05","n","y"
"TISI","2014-08-05","y","n"
"TISI","2014-08-06","n","y"
"EOG","2014-08-05","y","n"
"EOG","2014-08-06","n","y"
"DVN","2014-08-05","y","n"
"DVN","2014-08-06","n","y"
"RDC","2014-08-05","n","n"
"RDC","2014-08-06","y","y"
"RL","2014-08-05","y","n"
"RL","2014-08-06","n","y"
"AFSI","2014-08-06","y","n"
"AFSI","2014-08-07","n","y"
"CHH","2014-08-07","y","n"
"CHH","2014-08-08","n","y"
"PCLN","2014-08-08","y","n"
"PCLN","2014-08-11","n","y"
"HEI","2014-08-26","y","n"
"HEI","2014-08-27","n","y"
"OVTI","2014-08-28","n","n"
"OVTI","2014-08-29","y","y"
"GIII","2014-09-02","y","n"
"GIII","2014-09-03","n","y"
"BX","2014-10-15","y","n"
"BX","2014-10-16","n","y"
"NTCT","2014-10-15","y","n"
"NTCT","2014-10-16","n","y"
"COF","2014-10-16","y","n"
"COF","2014-10-17","n","y"
"CE","2014-10-20","y","n"
"CE","2014-10-21","n","y"
"TMO","2014-10-21","y","n"
"TMO","2014-10-22","n","y"
"ACE","2014-10-21","y","n"
"ACE","2014-10-22","n","y"
"AB","2014-10-22","y","n"
"AB","2014-10-23","n","y"
"ALXN","2014-10-22","y","n"
"ALXN","2014-10-23","n","y"
"CHKP","2014-10-22","y","n"
"CHKP","2014-10-23","n","y"
"DLX","2014-10-22","y","n"
"DLX","2014-10-23","n","y"
"CHH","2014-10-23","y","n"
"CHH","2014-10-24","n","y"
"WYN","2014-10-23","y","n"
"WYN","2014-10-24","n","y"
"PLT","2014-10-28","y","n"
"PLT","2014-10-29","n","y"
"HCC","2014-10-28","y","n"
"HCC","2014-10-29","n","y"
"ITT","2014-10-30","y","n"
"ITT","2014-10-31","n","y"
"FLT","2014-10-30","y","n"
"FLT","2014-10-31","n","y"
"INT","2014-10-30","y","n"
"INT","2014-10-31","n","y"
"CYH","2014-11-03","y","n"
"CYH","2014-11-04","n","y"
"DXPE","2014-11-03","y","n"
"DXPE","2014-11-04","n","y"
"PCLN","2014-11-03","y","n"
"PCLN","2014-11-04","n","y"
"FE","2014-11-03","n","n"
"FE","2014-11-04","y","y"
"RDC","2014-11-04","n","n"
"RDC","2014-11-05","y","y"
"GNRC","2014-11-05","y","n"
"GNRC","2014-11-06","n","y"
"NNI","2014-11-06","y","n"
"NNI","2014-11-07","n","y"
"FSLR","2014-11-06","n","n"
"FSLR","2014-11-07","y","y"
"GIII","2014-12-02","y","n"
"GIII","2014-12-03","n","y"
"DMND","2014-12-08","n","n"
"DMND","2014-12-09","y","y"
"PAY","2014-12-15","n","n"
"PAY","2014-12-16","y","y"
"HEI","2014-12-16","y","n"
"HEI","2014-12-17","n","y"
"UNF","2015-01-06","y","n"
"UNF","2015-01-07","n","y"
"DLX","2015-01-21","y","n"
"DLX","2015-01-22","n","y"
"NTCT","2015-01-21","y","n"
"NTCT","2015-01-22","n","y"
"KLAC","2015-01-22","n","n"
"KLAC","2015-01-23","y","y"
"PLT","2015-01-26","y","n"
"PLT","2015-01-27","n","y"
"AOS","2015-01-26","y","n"
"AOS","2015-01-27","n","y"
"MDP","2015-01-27","n","n"
"MDP","2015-01-28","y","y"
"ALXN","2015-01-28","y","n"
"ALXN","2015-01-29","n","y"
"LLL","2015-01-28","y","n"
"LLL","2015-01-29","n","y"
"CHKP","2015-01-28","y","n"
"CHKP","2015-01-29","n","y"
"RL","2015-02-03","y","n"
"RL","2015-02-04","n","y"
"ENS","2015-02-04","y","n"
"ENS","2015-02-05","n","y"
"SNA","2015-02-04","y","n"
"SNA","2015-02-05","n","y"
"BDC","2015-02-04","y","n"
"BDC","2015-02-05","n","y"
"MCO","2015-02-05","y","n"
"MCO","2015-02-06","n","y"
"CBOE","2015-02-05","y","n"
"CBOE","2015-02-06","n","y"
"FLT","2015-02-05","y","n"
"FLT","2015-02-06","n","y"
"CYOU","2015-02-06","n","n"
"CYOU","2015-02-09","y","y"
"ICUI","2015-02-09","y","n"
"ICUI","2015-02-10","n","y"
"AGII","2015-02-09","y","n"
"AGII","2015-02-10","n","y"
"SCI","2015-02-10","y","n"
"SCI","2015-02-11","n","y"
"AFSI","2015-02-10","y","n"
"AFSI","2015-02-11","n","y"
"HCC","2015-02-10","y","n"
"HCC","2015-02-11","n","y"
"CPA","2015-02-11","y","n"
"CPA","2015-02-12","n","y"
"NCIT","2015-02-11","y","n"
"NCIT","2015-02-12","n","y"
"AB","2015-02-11","y","n"
"AB","2015-02-12","n","y"
"LECO","2015-02-13","y","n"
"LECO","2015-02-16","n","y"
"CYH","2015-02-19","y","n"
"CYH","2015-02-20","n","y"
"M","2015-02-23","y","n"
"M","2015-02-24","n","y"
"FSLR","2015-02-24","n","n"
"FSLR","2015-02-25","y","y"
"CSGP","2015-02-25","y","n"
"CSGP","2015-02-26","n","y"
"RDC","2015-02-26","n","n"
"RDC","2015-02-27","y","y"
"PPG","2015-04-15","y","n"
"PPG","2015-04-16","n","y"
"CE","2015-04-16","y","n"
"CE","2015-04-17","n","y"
"MLNX","2015-04-20","y","n"
"MLNX","2015-04-21","n","y"
"MANH","2015-04-21","y","n"
"MANH","2015-04-22","n","y"
"EXPO","2015-04-22","y","n"
"EXPO","2015-04-23","n","y"
"MKSI","2015-04-22","y","n"
"MKSI","2015-04-23","n","y"
"SNA","2015-04-22","y","n"
"SNA","2015-04-23","n","y"
"ALXN","2015-04-22","y","n"
"ALXN","2015-04-23","n","y"
"SPG","2015-04-23","y","n"
"SPG","2015-04-24","n","y"
"AOS","2015-04-23","y","n"
"AOS","2015-04-24","n","y"
"KLAC","2015-04-23","n","n"
"KLAC","2015-04-24","y","y"
"LEA","2015-04-23","y","n"
"LEA","2015-04-24","n","y"
"PAG","2015-04-27","y","n"
"PAG","2015-04-28","n","y"
"WYN","2015-04-27","y","n"
"WYN","2015-04-28","n","y"
"ACGL","2015-04-28","y","n"
"ACGL","2015-04-29","n","y"
"NTCT","2015-04-29","y","n"
"NTCT","2015-04-30","n","y"
"MCO","2015-04-30","y","n"
"MCO","2015-05-01","n","y"
"PPS","2015-05-04","n","n"
"PPS","2015-05-05","y","y"
"CPA","2015-05-06","y","n"
"CPA","2015-05-07","n","y"
"HEI","2015-05-19","y","n"
"HEI","2015-05-20","n","y"
"INTU","2015-05-21","y","n"
"INTU","2015-05-22","n","y"
"PAY","2015-06-04","n","n"
"PAY","2015-06-05","y","y"
"KR","2015-06-17","y","n"
"KR","2015-06-18","n","y"
"UNF","2015-06-30","y","n"
"UNF","2015-07-01","n","y"
"JNJ","2015-07-13","y","n"
"JNJ","2015-07-14","n","y"
"PPG","2015-07-15","y","n"
"PPG","2015-07-16","n","y"
"CE","2015-07-16","y","n"
"CE","2015-07-17","n","y"
"SWI","2015-07-16","y","n"
"SWI","2015-07-17","n","y"
"SBNY","2015-07-20","y","n"
"SBNY","2015-07-21","n","y"
"ACE","2015-07-21","y","n"
"ACE","2015-07-22","n","y"
"EXPO","2015-07-21","y","n"
"EXPO","2015-07-22","n","y"
"MANH","2015-07-21","y","n"
"MANH","2015-07-22","n","y"
"CHKP","2015-07-21","y","n"
"CHKP","2015-07-22","n","y"
"MKSI","2015-07-22","y","n"
"MKSI","2015-07-23","n","y"
"MLNX","2015-07-22","y","n"
"MLNX","2015-07-23","n","y"
"DLX","2015-07-22","y","n"
"DLX","2015-07-23","n","y"
"AOS","2015-07-22","y","n"
"AOS","2015-07-23","n","y"
"SNA","2015-07-22","y","n"
"SNA","2015-07-23","n","y"
"SPG","2015-07-23","y","n"
"SPG","2015-07-24","n","y"
"MCO","2015-07-23","y","n"
"MCO","2015-07-24","n","y"
"LEA","2015-07-23","y","n"
"LEA","2015-07-24","n","y"
"PEB","2015-07-23","y","n"
"PEB","2015-07-24","n","y"
"PAG","2015-07-28","y","n"
"PAG","2015-07-29","n","y"
"JAH","2015-07-28","y","n"
"JAH","2015-07-29","n","y"
"MDP","2015-07-29","n","n"
"MDP","2015-07-30","y","y"
"AB","2015-07-29","y","n"
"AB","2015-07-30","n","y"
"NCIT","2015-07-29","y","n"
"NCIT","2015-07-30","n","y"
"ITT","2015-07-30","y","n"
"ITT","2015-07-31","n","y"
"NWL","2015-07-30","y","n"
"NWL","2015-07-31","n","y"
"KLAC","2015-07-30","n","n"
"KLAC","2015-07-31","y","y"
"BSFT","2015-07-31","y","n"
"BSFT","2015-08-03","n","y"
"AFSI","2015-08-03","y","n"
"AFSI","2015-08-04","n","y"
"CYH","2015-08-03","y","n"
"CYH","2015-08-04","n","y"
"RRD","2015-08-03","y","n"
"RRD","2015-08-04","n","y"
"PCLN","2015-08-04","y","n"
"PCLN","2015-08-05","n","y"
"FSLR","2015-08-04","n","n"
"FSLR","2015-08-05","y","y"
"DVN","2015-08-04","y","n"
"DVN","2015-08-05","n","y"
"FLT","2015-08-05","y","n"
"FLT","2015-08-06","n","y"
"ICUI","2015-08-10","y","n"
"ICUI","2015-08-11","n","y"
"HTZ","2015-08-10","y","n"
"HTZ","2015-08-11","n","y"
"M","2015-08-11","y","n"
"M","2015-08-12","n","y"
"NNA","2015-08-17","y","n"
"NNA","2015-08-18","n","y"
"SINA","2015-08-18","n","n"
"SINA","2015-08-19","y","y"
"HEI","2015-08-25","y","n"
"HEI","2015-08-26","n","y"
"ULTA","2015-08-27","y","n"
"ULTA","2015-08-28","n","y"
"QIHU","2015-09-01","y","n"
"QIHU","2015-09-02","n","y"
"GIII","2015-09-01","y","n"
"GIII","2015-09-02","n","y"
"PAY","2015-09-03","n","n"
"PAY","2015-09-04","y","y"
"SBNY","2015-10-19","y","n"
"SBNY","2015-10-20","n","y"
"AOS","2015-10-20","y","n"
"AOS","2015-10-21","n","y"
"ACE","2015-10-20","y","n"
"ACE","2015-10-21","n","y"
"MANH","2015-10-20","y","n"
"MANH","2015-10-21","n","y"
"MLNX","2015-10-21","y","n"
"MLNX","2015-10-22","n","y"
"DLX","2015-10-21","y","n"
"DLX","2015-10-22","n","y"
"CHKP","2015-10-23","y","n"
"CHKP","2015-10-26","n","y"
"SPG","2015-10-26","y","n"
"SPG","2015-10-27","n","y"
"CSGP","2015-10-28","y","n"
"CSGP","2015-10-29","n","y"
"NXPI","2015-10-28","y","n"
"NXPI","2015-10-29","n","y"
"EXLS","2015-10-28","y","n"
"EXLS","2015-10-29","n","y"
"TFX","2015-10-28","n","n"
"TFX","2015-10-29","y","y"
"JAH","2015-10-28","y","n"
"JAH","2015-10-29","n","y"
"PAG","2015-10-28","y","n"
"PAG","2015-10-29","n","y"
"FE","2015-10-29","n","n"
"FE","2015-10-30","y","y"
"NSP","2015-10-30","y","n"
"NSP","2015-11-02","n","y"
"AFSI","2015-11-02","y","n"
"AFSI","2015-11-03","n","y"
"DVN","2015-11-03","y","n"
"DVN","2015-11-04","n","y"
"FLT","2015-11-04","y","n"
"FLT","2015-11-05","n","y"
"ICUI","2015-11-05","y","n"
"ICUI","2015-11-06","n","y"
"PCLN","2015-11-06","y","n"
"PCLN","2015-11-09","n","y"
"VIPS","2015-11-17","n","n"
"VIPS","2015-11-18","y","y"
